Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview,cleaned_benefits,cleaned_sideEffects,cleaned_comments,combined_features,effectiveness_score
2202,enalapril,4,Highly Effective,Mild Side Effects,management of congestive heart failure,"slowed the progression of left ventricular dysfunction into overt heart failure 
alone or with other agents in the managment of hypertension 
mangagement of congestive heart failur",0.0,0.0,slowed progression left ventricular dysfunction overt heart failure alone agents managment hypertension mangagement congestive heart failur,cough hypotension proteinuria impotence renal failure angina pectoris tachycardia eosinophilic pneumonitis tastes disturbances anusease anorecia weakness fatigue insominca weakness,monitor blood pressure weight asses resolution fluid,management of congestive heart failure Highly Effective,3.0
3117,ortho-tri-cyclen,1,Highly Effective,Severe Side Effects,birth prevention,"Although this type of birth control has more cons than pros, it did help with my cramps. It's also effective with the prevention of pregnancy. (Along with use of condoms as well)",0.0,0.0,although type birth control cons pros help cramps also effective prevention pregnancy along use condoms well,heavy cycle cramps hot flashes fatigue long lasting cycles 5 1 2 months concidering changing different bc first time using kind bc unfortunately due constant hassel happy results,hate birth control would suggest anyone,birth prevention Highly Effective,3.0
1146,ponstel,10,Highly Effective,No Side Effects,menstrual cramps,"I was used to having cramps so badly that they would leave me balled up in bed for at least 2 days.  The Ponstel doesn't take the pain away completely, but takes the edge off so much that normal activities were possible. Definitely a miracle medication!!",0.0,0.0,used cramps badly would leave balled bed least 2 days ponstel take pain away completely takes edge much normal activities possible definitely miracle medication,heavier bleeding clotting normal,took 2 pills onset menstrual cramps every 8 12 hours took 1 pill needed 3 4 days cramps cramps bad make sure take every 8 hours dot medication stops working suddenly unfortunately takes hour hour half kick back cramps moderate taking every 12 hours okay,menstrual cramps Highly Effective,3.0
3947,prilosec,3,Marginally Effective,Mild Side Effects,acid reflux,"The acid reflux went away for a few months after just a few days of being on the drug. The heartburn started again as soon as I stopped taking it. So I began treatment again. 6 months passed and I stopped taking it. The heartburn came back, and seemed worse even. The doctor said I should try another 6 month treatment. I did, and the same exact thing happened. This went on for about three years. I asked why this wasn't curing my reflux. The doctor quite frankly told me that it wasn't a cure, but a ""treatment for the symptoms"". I was told that I would probably be on it for the rest of my life.",0.0,0.0,acid reflux went away months days drug heartburn started soon stopped taking began treatment 6 months passed stopped taking heartburn came back seemed worse even doctor said try another 6 month treatment exact thing happened went three years asked curing reflux doctor quite frankly told cure treatment symptoms told would probably rest life,constipation dry mouth mild dizziness would go away medication stopped days,given prilosec prescription dose 45mg per day medication taken every morning eating treatment duration 6 months,acid reflux Marginally Effective,1.0
1951,lyrica,2,Marginally Effective,Severe Side Effects,fibromyalgia,"I think that the Lyrica was starting to help with the pain, but the side-effects were just too severe to continue.",0.0,0.0,think lyrica starting help pain side effects severe continue,felt extremely drugged dopey could drive med also extreme ankle feet swelling even wear shoes,see,fibromyalgia Marginally Effective,1.0
2372,propecia,1,Ineffective,Severe Side Effects,hair loss,"after taking propecia for over a year, starting when i was 20 years of age my hair continued to thin, and i noticed no significant benefits",0.0,0.0,taking propecia year starting 20 years age hair continued thin noticed significant benefits,low sex drive started taking drug 19 years age full enthousiasm engaged 21 years old sex drive low wife unsatisfied also tired even peak hours throughout day hard concentrate mundain tasks,one pill daily,hair loss Ineffective,0.0
1043,vyvanse,9,Highly Effective,Mild Side Effects,add,"My mood has noticably improved, I have more energy, experience better sleep and digestion.",0.0,0.0,mood noticably improved energy experience better sleep digestion,experiences nausiea heavy moodswings days take decreased appetite negative affect short term memory,began taking 20mg vyvanse three months surprised find small dose affected mood effectively came school work though found needed 30mg increase level focus month since experienced decreased appetite month taking 20mg find greatest benefit vyvanse tends stabalize mood daily basis lessens bouts anxiety depression used face perscribed,add Highly Effective,3.0
2715,elavil,10,Considerably Effective,No Side Effects,depression,"Although this drug was originally prescribed for depression, it helped with sleeplessness. Therefore, I have continued to take it for that alone. While I still on occasion have problems falling asleep, I find I can combine it with Melatonin or Valerian. In 12 years, I haven't had to increase the elavil dosage.",0.0,0.0,although drug originally prescribed depression helped sleeplessness therefore continued take alone still occasion problems falling asleep find combine melatonin valerian 12 years increase elavil dosage,none,one day taken hour bedtime,depression Considerably Effective,
1591,xanax,10,Highly Effective,No Side Effects,panic disorder,"This simply just works fast and without any of the nasty side effects of SSRI medicines. I won't go into a long story of my panic attacks which I sought help for many years after the fact. This just works and it does what it's supposed to without any annoying side effects. When taken daily, it has stopped my panic attacks from starting and thinking patterns that lead to them. I find it can also be used as needed along with the daily treatment.",0.0,0.0,simply works fast without nasty side effects ssri medicines go long story panic attacks sought help many years fact works supposed without annoying side effects taken daily stopped panic attacks starting thinking patterns lead find also used needed along daily treatment,really side effects mild tolerable issue taking 4 5 times day effect way need take first within first 1 day couple weeks starting medicine broken body fast need adjust dose got past ups downs first week two getting increased 25 mg 3 times per day things stable smooth,first started taking 3 times per day 25 mg pills advised take needed panic attacks would reinforce idea taking pill needed help work around anxiety totally true first wished take needed doctor advice right really work take daily 3 5 times per day way body adjusts going panic makes association taking pill prevent stop start first place yes still minor attacks worry episodes nothing like many years wish extremely helpful medicine would bad name media news pharmacies works wonders want need take become addict people doctor need understand treat someone something works rather trying give ssri drugs companies push money reasons doctor decide ssri option need go back medical school,panic disorder Highly Effective,3.0
1686,claritin,1,Ineffective,Extremely Severe Side Effects,allergies,"none - did nothing to help allergies. i just had a dryer, more painful version of my allergies with new allergies/irritations developing on top of my original ones. this stuff is dangerous and the side effects that many people are experiencing are not listed on the package. a class action lawsuit needs to happen.",0.0,0.0,none nothing help allergies dryer painful version allergies new allergies irritations developing top original ones stuff dangerous side effects many people experiencing listed package class action lawsuit needs happen,horrifying mental physical side effects ruined year life read mentions everything dealt http www askapatient com viewrating asp drug 19658 name claritin,took one 10 mg pill nightly,allergies Ineffective,0.0
